题号,类别,子类/病例,参考答案,评分方式,出处数据集
DX1-063,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-064,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-065,病例诊断选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-066,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-067,病例诊断选择题,国家执业医师资格考试,B,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-068,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-069,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-070,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-071,病例诊断选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-072,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-073,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-074,病例诊断选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对诊断依据,CMExam
DX1-075,病例诊断选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对诊断依据,CMExam
DX2-001,诊断性检查选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对检查指征,CMExam
DX2-002,诊断性检查选择题,国家执业医师资格考试,A,选项精确匹配；解析用于核对检查指征,CMExam
DX2-003,诊断性检查选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对检查指征,CMExam
DX2-004,诊断性检查选择题,国家执业医师资格考试,B,选项精确匹配；解析用于核对检查指征,CMExam
DX2-005,诊断性检查选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对检查指征,CMExam
DX2-006,诊断性检查选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对检查指征,CMExam
DX2-007,诊断性检查选择题,国家执业医师资格考试,D,选项精确匹配；解析用于核对检查指征,CMExam
DX2-008,诊断性检查选择题,国家执业医师资格考试,B,选项精确匹配；解析用于核对检查指征,CMExam
DX2-009,诊断性检查选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对检查指征,CMExam
DX2-010,诊断性检查选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对检查指征,CMExam
DX2-011,诊断性检查选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对检查指征,CMExam
DX2-012,诊断性检查选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对检查指征,CMExam
DX2-013,诊断性检查选择题,国家执业医师资格考试,E,选项精确匹配；解析用于核对检查指征,CMExam
DX2-014,诊断性检查选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对检查指征,CMExam
DX2-015,诊断性检查选择题,国家执业医师资格考试,C,选项精确匹配；解析用于核对检查指征,CMExam
DX3-001,病例诊断分析,案例分析-腹外疝,诊断：嵌顿性腹股沟斜疝合并肠梗阻,主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX3-002,病例诊断分析,急性化脓性腹膜炎 案例分析-膈下脓肿,诊断：急性化脓性梗阻性胆管炎合并右膈下脓肿,主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX3-003,病例诊断分析,案例分析-隐睾癌变,诊断：左侧隐睾伴恶变？；诊断：男性不育症？,主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX3-004,病例诊断分析,胰腺疾病 案例分析-胰岛素瘤,诊断：低血糖症，胰头部胰岛素瘤,主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX3-005,病例诊断分析,胰腺疾病 案例分析-胰腺癌,诊断：胰腺癌,主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX3-006,病例诊断分析,泌尿、男生殖系统肿瘤 案例分析-膀胱癌,诊断：高级别浸润性膀胱癌,主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX3-007,病例诊断分析,脾疾病 案例分析-脾相关性疾病,诊断：遗传性球形红细胞增多症，脾大、脾功能亢进,主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX3-008,病例诊断分析,急性化脓性腹膜炎 案例分析-腹腔间隔室综合征,诊断：腹腔感染、脓毒症、腹腔高压、多脏器功能障碍、车祸外伤术后,主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX3-009,病例诊断分析,胸主动脉疾病 案例分析-急性Stanford B 型主动脉夹层,诊断：主动脉夹层（Stanford B型）,主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX3-010,病例诊断分析,乳房疾病 案例分析-乳腺癌,"诊断：右乳外上象限浸润性导管癌cT2N0M0,IIA期",主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX3-011,病例诊断分析,小肠疾病 案例分析-短肠综合征,诊断：短肠综合征（急性期）,主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX3-012,病例诊断分析,烧伤、冻伤、蛇咬伤、犬咬伤、虫蛰伤 案例分析-蛇咬伤,诊断：五步蛇咬伤,主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX3-013,病例诊断分析,胃十二指肠疾病 案例分析-胃十二指肠溃疡伴穿孔,诊断：胃溃疡伴穿孔,主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX3-014,病例诊断分析,原发性纵隔肿瘤 案例分析-纵隔畸胎瘤,诊断：纵隔畸胎瘤,主诊断是否命中 + 诊断依据覆盖度 + 2 名评分人 1-5 分,CMB-Clin
DX4-001,鉴别诊断,泌尿、男生殖系统肿瘤 案例分析-肾癌,鉴别：肾错构瘤；鉴别：肾淋巴瘤；鉴别：肾上腺肿瘤,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-002,鉴别诊断,案例分析-肥胖症,鉴别：继发性肥胖,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-003,鉴别诊断,食管疾病 案例分析-胃食管反流病,鉴别：左心衰竭引起的喘息样呼吸困难；鉴别：慢性阻塞性肺疾病,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-004,鉴别诊断,结、直肠与肛管疾病 案例分析-痔,鉴别：结直肠肿瘤；鉴别：直肠脱垂,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-005,鉴别诊断,颈部疾病 案例分析-甲状旁腺功能亢进,鉴别：继发性甲状旁腺功能亢进,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-006,鉴别诊断,胆道疾病 案例分析-肝外胆管结石,鉴别：右肾结石；鉴别：肠绞痛；鉴别：壶腹癌或胰头癌,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-007,鉴别诊断,案例分析-嗜铬细胞瘤,鉴别：肾上腺皮质腺瘤；鉴别：肾上腺皮质腺癌；鉴别：肾上腺转移瘤,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-008,鉴别诊断,结、直肠与肛管疾病 案例分析-结肠癌肝转移,鉴别：原发性肝癌；鉴别：肝脏良性肿瘤,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-009,鉴别诊断,颅脑损伤 案例分析-慢性硬膜下血肿,鉴别：急性硬膜外血肿；鉴别：急性硬膜下血肿；鉴别：脑内血肿,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-010,鉴别诊断,胆道疾病 案例分析-胆囊结石,鉴别：右肾结石；鉴别：继发胆总管结石,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-011,鉴别诊断,案例分析-手部急性化脓性细菌感染,鉴别：指头炎；鉴别：化脓性滑囊炎,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-012,鉴别诊断,案例分析-丹毒,鉴别：急性蜂窝织炎；鉴别：坏死性筋膜炎；鉴别：骨筋膜室综合征,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-013,鉴别诊断,胆道疾病 案例分析-胆道闭锁,鉴别：新生儿肝炎；鉴别：新生儿溶血病,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-014,鉴别诊断,颈部疾病 案例分析-甲状腺癌,鉴别：甲状腺腺瘤；鉴别：甲状腺其他类型的癌症,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-015,鉴别诊断,案例分析-原发性醛固酮增多症,鉴别：肾上腺嗜铬细胞瘤；鉴别：肾上腺皮质腺癌；鉴别：肾上腺转移瘤；鉴别：5cm结节,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-016,鉴别诊断,案例分析-痈,鉴别：皮脂囊肿感染；鉴别：痤疮感染,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-017,鉴别诊断,案例分析-急性肝衰竭,鉴别：慢加急性肝衰竭；鉴别：胆囊炎,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-018,鉴别诊断,结、直肠与肛管疾病 案例分析-家族性腺瘤性息肉病,鉴别：P-J综合征；鉴别：结肠癌,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-019,鉴别诊断,案例分析-颅内动脉瘤破裂导致的蛛网膜下腔出血,鉴别：高血压性脑出血 年龄多在40岁以上；鉴别：烟雾病 年龄多在10岁以下及20～40岁,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-020,鉴别诊断,胆道疾病 案例分析-胆管扩张,鉴别：新生儿肝炎；鉴别：新生儿溶血病；鉴别：腹部囊性肿物,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-021,鉴别诊断,案例分析-消化道出血伴急性肾损伤,鉴别：慢性肾衰竭急性发作；鉴别：肾后性急性肾损伤,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-022,鉴别诊断,乳房疾病 案例分析-急性乳腺炎,鉴别：浆细胞性乳腺炎；鉴别：炎性乳腺癌,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-023,鉴别诊断,案例分析-勃起功能障碍,鉴别：心理性ED；鉴别：其他类型勃起功能障碍,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-024,鉴别诊断,胆道疾病 案例分析-肝内胆管结石,鉴别：肝外胆管结石；鉴别：胆汁淤积性肝硬化；鉴别：肝内胆管癌,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-025,鉴别诊断,胃十二指肠疾病 案例分析-胃十二指肠溃疡伴穿孔,鉴别：急性胆囊炎；鉴别：急性胰腺炎；鉴别：急性阑尾炎；鉴别：急性小肠或结肠穿孔,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX4-026,鉴别诊断,案例分析-腹外疝,鉴别：睾丸鞘膜积液；鉴别：交通性鞘膜积液；鉴别：精索鞘膜积液；鉴别：急性肠梗阻,应鉴别疾病召回率 + 区分要点合理性 + 2 名评分人 1-5 分,CMB-Clin
DX5-001,多轮问诊诊断结论,医患多轮对话,诊断：小儿支气管肺炎；建议：支原体，胸片检查。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-002,多轮问诊诊断结论,医患多轮对话,诊断：幼儿急疹不能排除；建议：化验血常规,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-003,多轮问诊诊断结论,医患多轮对话,诊断：小儿咳嗽；建议：就医儿科，让医生听诊，化验血常规，服用小儿宣肺止咳颗粒。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-004,多轮问诊诊断结论,医患多轮对话,诊断：普通感冒；建议：艾畅，生理海水喷雾剂喷鼻腔，罗红霉素冲剂,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-005,多轮问诊诊断结论,医患多轮对话,诊断：消化不良。；建议：口服止泻药物，注意保暖。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-006,多轮问诊诊断结论,医患多轮对话,诊断：小儿腹泻。；建议：口服妈咪爱、山匍健脾颗粒，间隔一小时服用。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-007,多轮问诊诊断结论,医患多轮对话,诊断：小儿腹泻。；建议：观察患儿大便次数性状，口服益生菌。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-008,多轮问诊诊断结论,医患多轮对话,诊断：小儿消化不良。；建议：粪便常规，口服抗生素。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-009,多轮问诊诊断结论,医患多轮对话,诊断：上呼吸道感染。；建议：施保利通，头孢克洛。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-010,多轮问诊诊断结论,医患多轮对话,诊断：小儿腹泻。；建议：继续当前药物服用，停头孢克圬。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-011,多轮问诊诊断结论,医患多轮对话,诊断：小儿咳嗽；建议：听诊，胸片，加消炎药。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-012,多轮问诊诊断结论,医患多轮对话,诊断：呼吸道感染；建议：继续口服药物治疗。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-013,多轮问诊诊断结论,医患多轮对话,诊断：支气管炎，腹泻待查。；建议：益生菌，盐酸氨溴索口服液，整肠生，注意腹部保暖。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-014,多轮问诊诊断结论,医患多轮对话,诊断：呼吸道感染；建议：口服小儿氨酚黄那敏颗粒，止咳橘红合剂，注意清淡饮食，多喝水，加强保暖。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-015,多轮问诊诊断结论,医患多轮对话,诊断：支气管炎。；建议：继续口服药物治疗，观察病情变化。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-016,多轮问诊诊断结论,医患多轮对话,诊断：咳嗽待查。；建议：血常规，肺炎支原体抗体。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-017,多轮问诊诊断结论,医患多轮对话,诊断：小儿发热。；建议：积极物理降温，体温高于38.5度时予退烧药服用。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-018,多轮问诊诊断结论,医患多轮对话,诊断：咳嗽待查。；建议：血常规，肺炎支原体抗体。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-019,多轮问诊诊断结论,医患多轮对话,诊断：消化不良；建议：益生菌调理肠道。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
DX5-020,多轮问诊诊断结论,医患多轮对话,诊断：病毒性感染。；建议：肺力咳，拍背。,诊断与参考一致性 + 依据与不确定性说明 + 2 名评分人 1-5 分,IMCS-V2-MRG
